student_id,date_registered,student_onboarded
258799,2022-01-01,0
258801,2022-01-01,0
258802,2022-01-01,0
258805,2022-01-01,0
258806,2022-01-01,0
258808,2022-01-01,0
258820,2022-01-01,0
258821,2022-01-01,0
258823,2022-01-01,0
258825,2022-01-01,0
258835,2022-01-01,0
258836,2022-01-01,0
258838,2022-01-01,0
258839,2022-01-01,0
258842,2022-01-01,0
258843,2022-01-01,0
258844,2022-01-01,0
258847,2022-01-01,0
258850,2022-01-01,0
258853,2022-01-01,0
258854,2022-01-01,0
258856,2022-01-01,0
258858,2022-01-01,0
258859,2022-01-01,0
258864,2022-01-01,0
258866,2022-01-01,0
258867,2022-01-01,0
258868,2022-01-01,0
258873,2022-01-01,0
258874,2022-01-01,0
258875,2022-01-01,0
258877,2022-01-01,0
258886,2022-01-01,0
258889,2022-01-01,0
258891,2022-01-01,0
258896,2022-01-01,0
258898,2022-01-01,0
258899,2022-01-01,0
258900,2022-01-01,0
258901,2022-01-01,0
258909,2022-01-01,0
258911,2022-01-02,0
258918,2022-01-02,0
258919,2022-01-02,0
258921,2022-01-02,0
258923,2022-01-02,0
258926,2022-01-02,0
258928,2022-01-02,0
258931,2022-01-02,0
258932,2022-01-02,0
258934,2022-01-02,0
258935,2022-01-02,0
258937,2022-01-02,0
258938,2022-01-02,0
258941,2022-01-02,0
258942,2022-01-02,0
258943,2022-01-02,0
258944,2022-01-02,0
258945,2022-01-02,0
258946,2022-01-02,0
258948,2022-01-02,0
258949,2022-01-02,0
258950,2022-01-02,0
258952,2022-01-02,0
258953,2022-01-02,0
258958,2022-01-02,0
258961,2022-01-02,0
258963,2022-01-02,0
258964,2022-01-02,0
258966,2022-01-02,0
258968,2022-01-02,0
258972,2022-01-02,0
258975,2022-01-02,0
258976,2022-01-02,0
258977,2022-01-02,0
258978,2022-01-02,0
258981,2022-01-02,0
258983,2022-01-02,0
258985,2022-01-02,0
258986,2022-01-02,0
258988,2022-01-02,0
258990,2022-01-02,0
258992,2022-01-02,0
258995,2022-01-02,0
259003,2022-01-02,0
259004,2022-01-02,0
259006,2022-01-02,0
259007,2022-01-02,0
259009,2022-01-02,0
259010,2022-01-02,0
259013,2022-01-02,0
259016,2022-01-02,0
259021,2022-01-02,0
259023,2022-01-02,0
259027,2022-01-02,0
259030,2022-01-02,0
259031,2022-01-02,0
259037,2022-01-02,0
259038,2022-01-02,0
259044,2022-01-02,0
259049,2022-01-02,0
259050,2022-01-02,0
259052,2022-01-02,0
259053,2022-01-03,0
259061,2022-01-03,0
259064,2022-01-03,0
259066,2022-01-03,0
259073,2022-01-03,0
259074,2022-01-03,0
259075,2022-01-03,0
259076,2022-01-03,0
259081,2022-01-03,0
259082,2022-01-03,0
259083,2022-01-03,0
259089,2022-01-03,0
259091,2022-01-03,0
259092,2022-01-03,0
