student_id,date_engaged,paid,cohort,period
258798,2022-01-01,0,2022-01-01,0
258800,2022-01-02,1,2022-01-02,0
258800,2022-01-03,1,2022-01-02,0
258800,2022-01-04,1,2022-01-02,0
258800,2022-01-05,1,2022-01-02,0
258800,2022-01-06,1,2022-01-02,0
258800,2022-01-07,1,2022-01-02,0
258800,2022-01-10,1,2022-01-02,0
258800,2022-01-11,1,2022-01-02,0
258800,2022-01-13,1,2022-01-02,0
258800,2022-01-15,1,2022-01-02,0
258800,2022-01-16,1,2022-01-02,0
258800,2022-01-22,1,2022-01-02,0
258800,2022-01-23,1,2022-01-02,0
258800,2022-01-28,1,2022-01-02,0
258800,2022-02-21,1,2022-01-02,1
258800,2022-02-22,1,2022-01-02,1
258800,2022-02-23,1,2022-01-02,1
258800,2022-02-25,1,2022-01-02,1
258800,2022-02-26,1,2022-01-02,1
258800,2022-02-27,1,2022-01-02,1
258800,2022-03-14,1,2022-01-02,2
258800,2022-03-25,1,2022-01-02,2
258800,2022-03-28,1,2022-01-02,2
258800,2022-04-01,1,2022-01-02,2
258800,2022-05-12,1,2022-01-02,4
258800,2022-05-26,1,2022-01-02,4
258800,2022-05-27,1,2022-01-02,4
258800,2022-05-30,1,2022-01-02,4
258800,2022-06-28,1,2022-01-02,5
258803,2022-01-01,1,2022-01-01,0
258803,2022-01-02,1,2022-01-01,0
258803,2022-01-03,1,2022-01-01,0
258803,2022-01-04,1,2022-01-01,0
258803,2022-01-05,1,2022-01-01,0
258803,2022-01-08,1,2022-01-01,0
258803,2022-01-09,1,2022-01-01,0
258803,2022-01-10,1,2022-01-01,0
258803,2022-01-11,1,2022-01-01,0
258803,2022-01-16,1,2022-01-01,0
258803,2022-02-01,1,2022-01-01,1
258803,2022-02-21,1,2022-01-01,1
258803,2022-04-17,1,2022-01-01,3
258803,2022-06-27,1,2022-01-01,5
258803,2022-07-26,1,2022-01-01,6
258803,2022-07-28,1,2022-01-01,6
258803,2022-07-29,1,2022-01-01,6
258803,2022-07-30,1,2022-01-01,6
258803,2022-07-31,1,2022-01-01,6
258804,2022-01-01,0,2022-01-01,0
258807,2022-01-01,0,2022-01-01,0
258809,2022-01-01,0,2022-01-01,0
258809,2022-01-02,0,2022-01-01,0
258809,2022-01-04,0,2022-01-01,0
258810,2022-01-01,0,2022-01-01,0
258811,2022-01-01,0,2022-01-01,0
258811,2022-01-04,0,2022-01-01,0
258811,2022-01-08,0,2022-01-01,0
258811,2022-01-13,0,2022-01-01,0
258812,2022-01-01,0,2022-01-01,0
258813,2022-01-01,0,2022-01-01,0
258814,2022-01-01,0,2022-01-01,0
258814,2022-01-26,0,2022-01-01,0
258815,2022-01-01,0,2022-01-01,0
258816,2022-01-01,0,2022-01-01,0
258817,2022-01-01,0,2022-01-01,0
258818,2022-01-03,1,2022-01-03,0
258818,2022-01-04,1,2022-01-03,0
258818,2022-01-05,1,2022-01-03,0
258818,2022-01-06,1,2022-01-03,0
258818,2022-01-07,1,2022-01-03,0
258818,2022-01-10,1,2022-01-03,0
258818,2022-01-11,1,2022-01-03,0
258818,2022-01-12,1,2022-01-03,0
258818,2022-01-13,1,2022-01-03,0
258818,2022-01-14,1,2022-01-03,0
258818,2022-01-17,1,2022-01-03,0
258818,2022-01-18,1,2022-01-03,0
258818,2022-01-19,1,2022-01-03,0
258818,2022-01-20,1,2022-01-03,0
258818,2022-01-21,1,2022-01-03,0
258818,2022-01-23,1,2022-01-03,0
258818,2022-01-24,1,2022-01-03,0
258818,2022-01-25,1,2022-01-03,0
258818,2022-01-26,1,2022-01-03,0
258818,2022-01-27,1,2022-01-03,0
258818,2022-01-28,1,2022-01-03,0
258818,2022-01-29,1,2022-01-03,0
258818,2022-01-31,1,2022-01-03,0
258818,2022-02-01,1,2022-01-03,0
258818,2022-02-09,1,2022-01-03,1
258818,2022-02-10,1,2022-01-03,1
258818,2022-02-11,1,2022-01-03,1
258818,2022-02-12,1,2022-01-03,1
258818,2022-02-13,1,2022-01-03,1
258818,2022-02-14,1,2022-01-03,1
258818,2022-02-15,1,2022-01-03,1
258818,2022-02-16,1,2022-01-03,1
258818,2022-02-17,1,2022-01-03,1
258818,2022-02-18,1,2022-01-03,1
